,tweet_index,comp,positive,negative,neutral,text,created_at
0,-1,0.4033,0.125,0.0,0.875,"It is unusual, and refreshing, to see an addiction film that has such little interest in psychoanalysing its subject https://t.co/JKz2CTsNbP",Sun Oct 07 18:37:24 +0000 2018
1,-2,0.4404,0.162,0.0,0.838,An eponymous exhibition at the Neuer Berliner Kunstverein is a first draft of her creative history https://t.co/dmCiKragyJ,Sun Oct 07 18:21:43 +0000 2018
2,-3,0.765,0.306,0.0,0.694,Discover a richer perspective on the global trends shaping your future with The Economist. Enjoy a 12-week subscrip… https://t.co/TifDQsgmOm,Sun Oct 07 18:04:31 +0000 2018
3,-4,-0.2732,0.0,0.08,0.92,"RT @JeremyCliffe: Russia could suddenly cut off the Baltic states from the rest of NATO, by closing the ""Suwalki gap"", if it decided that o…",Sun Oct 07 17:52:49 +0000 2018
4,-5,-0.6369,0.0,0.219,0.781,Guns that find their way to Cape Town’s murderous gangs often come from the police https://t.co/fRi9WHove1,Sun Oct 07 17:48:09 +0000 2018
5,-6,-0.5106,0.0,0.18,0.82,"Hard-core Brexiteers are evidence of an ugly turn in British politics towards tub-thumping, no-holds-barred populis… https://t.co/1bHzyCE68E",Sun Oct 07 17:31:07 +0000 2018
6,-7,0.0,0.0,0.0,1.0,The odds of a dramatic “peace declaration” are rising. Donald Trump seems to see such a step as a means to a Nobel… https://t.co/iX8jor6LcE,Sun Oct 07 17:15:06 +0000 2018
7,-8,0.0,0.0,0.0,1.0,"Who was the Edward Snowden of the Victorian era? Christopher Andrew, the author of “The Secret World”, tells… https://t.co/FyBd8xe1j0",Sun Oct 07 17:11:51 +0000 2018
8,-9,0.4215,0.149,0.0,0.851,The saga ended in a manner appropriate to the United States Senate: with hours of pointless verbiage https://t.co/73zchNc9WO,Sun Oct 07 16:52:48 +0000 2018
9,-10,-0.34,0.154,0.333,0.513,Saudi Arabia’s repression reaches Istanbul https://t.co/O1E4mnmLfV,Sun Oct 07 16:36:40 +0000 2018
10,-11,-0.765,0.0,0.337,0.663,Donald Trump’s crude attacks on Christine Blasey Ford can be viewed as a tactical ploy https://t.co/7HtnPjPDIv,Sun Oct 07 16:18:28 +0000 2018
11,-12,0.0772,0.24,0.227,0.533,"Many comedians use laughter to overcome or acknowledge their suffering, transmogrifying personal darkness into light https://t.co/MXuxMuTArP",Sun Oct 07 16:03:25 +0000 2018
12,-13,0.0,0.0,0.0,1.0,"The Czech president, Milos Zeman, wants his country to be China’s “unsinkable aircraft-carrier” in Europe https://t.co/I2uvJkSZxH",Sun Oct 07 15:45:23 +0000 2018
13,-14,-0.3612,0.0,0.122,0.878,Many doubt that the sale of Wembley would achieve the “transformation” of the grassroots game that England's Footba… https://t.co/kQefTYwfGN,Sun Oct 07 15:29:44 +0000 2018
14,-15,0.7003,0.266,0.0,0.734,The bald eagle’s rescue from the brink of extinction shows the importance of America's environmental protection leg… https://t.co/SRu5NU1epe,Sun Oct 07 15:11:28 +0000 2018
15,-16,0.34,0.118,0.0,0.882,The fiction behind plea bargains is that the innocent will stand fast. Case reviews and psychology experiments show… https://t.co/6Q3qDrGrQA,Sun Oct 07 15:00:40 +0000 2018
16,-17,0.6369,0.206,0.0,0.794,"Amazon's wage hike will be in place in time for the holiday season, when firm will need to attract 100,000 temporar… https://t.co/qbsWhpmhGj",Sun Oct 07 14:56:03 +0000 2018
17,-18,-0.3612,0.0,0.116,0.884,"""There is something quite white, middle class and male about the debating format,"" laments the master of Dulwich Co… https://t.co/yKQprmas9t",Sun Oct 07 14:39:18 +0000 2018
18,-19,0.0,0.0,0.0,1.0,Why shipping is returning to wind power https://t.co/lRd4TElVcx,Sun Oct 07 14:24:00 +0000 2018
19,-20,0.0,0.0,0.0,1.0,Facebook feels the force of the EU's strict privacy laws https://t.co/SAndzBDG6e,Sun Oct 07 14:05:52 +0000 2018
20,-21,0.5574,0.223,0.0,0.777,"Early October is a nerve-wracking time for top scientists, secretly hoping for an invitation to the Nobel celebrati… https://t.co/nxzBxygIsZ",Sun Oct 07 13:49:41 +0000 2018
21,-22,0.0,0.0,0.0,1.0,Brett Kavanaugh could take his seat on the bench as early as Tuesday—but the repercussions will be felt for years t… https://t.co/cDSAGUl0Im,Sun Oct 07 13:31:02 +0000 2018
22,-23,0.3182,0.15,0.0,0.85,"China's ""first-to-file"" trademark law means speedy filings by locals can beat original brand-owners https://t.co/ryXfUWTB64",Sun Oct 07 13:15:46 +0000 2018
23,-24,0.128,0.119,0.099,0.782,"RT @sarahmaslin: Thanks to Brazil’s e-voting system, we’ll know the results within a couple hours. But in a tense election, rumours are fly…",Sun Oct 07 13:04:02 +0000 2018
24,-25,-0.2732,0.0,0.123,0.877,"""Stars, planets and gender: a framework for a feminist astronomy"" was the title of one hoax paper https://t.co/kHHQhjz5Th",Sun Oct 07 13:00:24 +0000 2018
25,-26,0.5859,0.192,0.0,0.808,"If the markets continue to turn against Italy, Luigi di Maio's joy will be short lived https://t.co/AsJnmdhbs8",Sun Oct 07 12:44:56 +0000 2018
